title,author,link,references
Python programming language.,G Van Rossum,https://codedocs.org/what-is/python-programming-language,1268
Programming python,M Lutz,https://books.google.com/books?hl=ro&lr=&id=c8pV-TzyfBUC&oi=fnd&pg=PR11&dq=python+programming&ots=n6bz5TXRSV&sig=jfTo3Tbx3EG1bHc9DL32ArzcBFY,900
Python programming: an introduction to computer science,JM Zelle,https://books.google.com/books?hl=ro&lr=&id=aJQILlLxRmAC&oi=fnd&pg=PA1&dq=python+programming&ots=CDbFuJUc-D&sig=vDgc8z_HvlpgtI5DThtxOnpxEpk,319
Python programming fundamentals,KD Lee,https://link.springer.com/content/pdf/10.1007/978-1-4471-6642-9.pdf,53
Python programming for data analysis,J Unpingco,https://link.springer.com/content/pdf/10.1007/978-3-030-68952-0.pdf,46
Introduction to Python programming,"S Gowrishankar, A Veena",https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.1201/9781351013239&type=googlepdf,30
Python to learn programming,"A Bogdanchikov, M Zhaparov…",https://iopscience.iop.org/article/10.1088/1742-6596/423/1/012027/meta,130
Python programming and numerical methods: A guide for engineers and scientists,"Q Kong, T Siauw, A Bayen",https://books.google.com/books?hl=ro&lr=&id=GWzqDwAAQBAJ&oi=fnd&pg=PP1&dq=python+programming&ots=H5fQLK5b-6&sig=Y9ACp6GPCGfJNbuprgX2fH3ExSE,202
Python programming,HP Halvorsen,https://solutionhustler.com/wp-content/uploads/Public-Content/solutionhustler-DataScience/Python/Python_Learn%20progamming%20140pp.pdf,21
Python-bot: A chatbot for teaching python programming.,"CW Okonkwo, A Ade-Ibijola",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=1816093X&AN=148993113&h=gp3VyxguUsDLWCJHKuQyBz%2BvjnXfyf3GKbJwC52B9EYHytSSBj2skGPnTYjYImg0f0lKO19I0FlwbppT9cu5VQ%3D%3D&crl=c,213
